i_pid,i_id_pers,i_id_session,dt_date_utc,r_lat,r_lon,geom_2154
17440,8,0,2019-07-08 05:29:31+02,45.1851366666667,5.71715,01010000206A08000030D8D022A0DF2B417E729EFD4CA25841
17441,8,0,2019-07-08 05:29:36+02,45.1849816666667,5.71722166666667,01010000206A080000EB273392ACDF2B41B4D1F3BC48A25841
17442,8,0,2019-07-08 05:29:41+02,45.1848716666667,5.71732,01010000206A080000E64240D9BCDF2B41F6858FC045A25841
17443,8,0,2019-07-08 05:29:46+02,45.1847683333333,5.71743333333333,01010000206A080000D6BD196ECFDF2B41DE051FF642A25841
17444,8,0,2019-07-08 05:29:51+02,45.1847483333333,5.71734,01010000206A080000DA884FEEC0DF2B41DE3DE85742A25841
17445,8,0,2019-07-08 05:29:56+02,45.1847683333333,5.71729166666667,01010000206A08000080FCBD30B9DF2B41E7DD9EDD42A25841
17446,8,0,2019-07-08 05:30:01+02,45.1846016666667,5.71739,01010000206A0800009A21AEE6C9DF2B41B5F1B04E3EA25841
17447,8,0,2019-07-08 05:30:06+02,45.18442,5.71752,01010000206A0800008A72A1B2DFDF2B414469AF5A39A25841
17448,8,0,2019-07-08 05:30:11+02,45.1842566666667,5.71757333333333,01010000206A08000030759A51E9DF2B41DD1DA7DB34A25841
17449,8,0,2019-07-08 05:30:16+02,45.1840816666667,5.71767833333333,01010000206A08000092B0D723FBDF2B418A82AE1230A25841
17450,8,0,2019-07-08 05:30:21+02,45.1839433333333,5.7177,01010000206A08000005FB4699FFDF2B41F046C33F2CA25841
17451,8,0,2019-07-08 05:30:26+02,45.1838533333333,5.71769166666667,01010000206A080000526878FAFEDF2B417904FFBE29A25841
17452,8,0,2019-07-08 05:30:31+02,45.183785,5.71765833333333,01010000206A08000072318A44FADF2B41FC22D1D327A25841
17453,8,0,2019-07-08 05:30:36+02,45.1836733333333,5.71762833333333,01010000206A08000072835B69F6DF2B41121B64B524A25841
17454,8,0,2019-07-08 05:30:41+02,45.183575,5.717595,01010000206A080000DE2C1EEEF1DF2B41B57C1AF521A25841
17455,8,0,2019-07-08 05:30:46+02,45.18352,5.71760833333333,01010000206A080000F2C89671F4DF2B4102FBB57020A25841
17456,8,0,2019-07-08 05:30:51+02,45.1834016666667,5.71770666666667,01010000206A080000AA5514C904E02B41290220391DA25841
17457,8,0,2019-07-08 05:30:56+02,45.1833466666667,5.71777833333333,01010000206A080000D5A1F07410E02B414F9DD2BE1BA25841
17458,8,0,2019-07-08 05:31:01+02,45.18321,5.717875,01010000206A080000F26959AD20E02B412580B70418A25841
17459,8,0,2019-07-08 05:31:06+02,45.1830433333333,5.71800166666667,01010000206A080000235A2CD635E02B41EB5CB17A13A25841
17460,8,0,2019-07-08 05:31:11+02,45.1828483333333,5.71811666666667,01010000206A0800001046986149E02B41ACEF61250EA25841
17461,8,0,2019-07-08 05:31:16+02,45.18264,5.71825333333333,01010000206A080000C2ADEC6D60E02B41495C1B7508A25841
17462,8,0,2019-07-08 05:31:21+02,45.1824266666667,5.71840666666667,01010000206A080000D55DEA217AE02B4117B432A402A25841
17463,8,0,2019-07-08 05:31:26+02,45.1822333333333,5.71853166666667,01010000206A080000828E153C8FE02B4127EE755CFDA15841
17464,8,0,2019-07-08 05:31:31+02,45.18205,5.71863166666667,01010000206A080000A67BF455A0E02B4134426F57F8A15841
17465,8,0,2019-07-08 05:31:36+02,45.18187,5.71872666666667,01010000206A08000094F95FA0B0E02B41C2053969F3A15841
17466,8,0,2019-07-08 05:31:41+02,45.1816916666667,5.71880333333333,01010000206A080000E6A4BA06BEE02B4166A7AD83EEA15841
17467,8,0,2019-07-08 05:31:46+02,45.1814883333333,5.71887,01010000206A080000CE43220CCAE02B419F3FD0EAE8A15841
17468,8,0,2019-07-08 05:31:51+02,45.1812,5.71897,01010000206A0800005697A6F3DBE02B41B409E9FBE0A15841
17469,8,0,2019-07-08 05:31:56+02,45.181,5.71905666666667,01010000206A08000026556616EBE02B4153AA2F7EDBA15841
17470,8,0,2019-07-08 05:32:01+02,45.18087,5.71912166666667,01010000206A08000043D25249F6E02B41443AF7EDD7A15841
17471,8,0,2019-07-08 05:32:06+02,45.1807816666667,5.71912333333333,01010000206A08000064803D39F7E02B411FADC47AD5A15841
17472,8,0,2019-07-08 05:32:11+02,45.180645,5.71916833333333,01010000206A08000084BA6755FFE02B411EADBAB7D1A15841
17473,8,0,2019-07-08 05:32:16+02,45.1803033333333,5.71936666666667,01010000206A080000786AA21521E12B416510FD5EC8A15841
17474,8,0,2019-07-08 05:32:21+02,45.1799883333333,5.71967166666667,01010000206A080000EF83DF6053E12B41C70B25D6BFA15841
17475,8,0,2019-07-08 05:32:26+02,45.1796916666667,5.71987,01010000206A080000C96532C974E12B4147D612BDB7A15841
17476,8,0,2019-07-08 05:32:31+02,45.1795883333333,5.719885,01010000206A080000C0566EEE77E12B41AB5CA1E1B4A15841
17477,8,0,2019-07-08 05:32:36+02,45.1795783333333,5.719875,01010000206A080000EAB4177076E12B414BEBDC98B4A15841
17478,8,0,2019-07-08 05:32:41+02,45.1795733333333,5.71986333333333,01010000206A080000CCD8F9A474E12B41113D5373B4A15841
17479,8,0,2019-07-08 05:32:46+02,45.17955,5.719845,01010000206A080000C612D0F171E12B416E7966CAB3A15841
17480,8,0,2019-07-08 05:32:51+02,45.1795083333333,5.719895,01010000206A0800005879031D7AE12B416F8B12ABB2A15841
17481,8,0,2019-07-08 05:32:56+02,45.179415,5.71990666666667,01010000206A0800007FD6B1A87CE12B416C971616B0A15841
17482,8,0,2019-07-08 05:33:01+02,45.1793016666667,5.71991166666667,01010000206A080000922B984F7EE12B4108ABE0F1ACA15841
17483,8,0,2019-07-08 05:33:06+02,45.1791533333333,5.71996333333333,01010000206A080000CC41AE8E87E12B4133A51EDDA8A15841
17484,8,0,2019-07-08 05:33:11+02,45.1789583333333,5.720075,01010000206A0800009C82B8949AE12B41407F3F87A3A15841
17485,8,0,2019-07-08 05:33:16+02,45.1787666666667,5.72021666666667,01010000206A080000E14B0B4AB2E12B41B312404E9EA15841
17486,8,0,2019-07-08 05:33:21+02,45.1785633333333,5.72031666666667,01010000206A080000F4388E8BC3E12B41AEE629BB98A15841
17487,8,0,2019-07-08 05:33:26+02,45.1783133333333,5.72049833333333,01010000206A080000669FEDFAE1E12B414EA5B7EA91A15841
17488,8,0,2019-07-08 05:33:31+02,45.1781133333333,5.720695,01010000206A0800006E31526302E22B415F3B0D808CA15841
17489,8,0,2019-07-08 05:33:36+02,45.1779316666667,5.72089,01010000206A08000086C6DD6422E22B417039559787A15841
17490,8,0,2019-07-08 05:33:41+02,45.17776,5.72115,01010000206A08000010E570874CE22B411A47E90083A15841
17491,8,0,2019-07-08 05:33:46+02,45.1776,5.72136333333333,01010000206A08000063D8853F6FE22B41A62A49B57EA15841
17492,8,0,2019-07-08 05:33:51+02,45.1775033333333,5.72154333333333,01010000206A0800009557C43F8CE22B41C2CBC8257CA15841
17493,8,0,2019-07-08 05:33:56+02,45.1774,5.721775,01010000206A0800001D53C569B1E22B412AF7E06F79A15841
17494,8,0,2019-07-08 05:34:01+02,45.17732,5.72199666666667,01010000206A080000028E24D4D4E22B4122B9FE5D77A15841
17495,8,0,2019-07-08 05:34:06+02,45.1771733333333,5.722225,01010000206A080000B43329CDF9E22B41B515B27373A15841
17496,8,0,2019-07-08 05:34:11+02,45.1769583333333,5.72244166666667,01010000206A08000072F13C771DE32B412EF4F6A16DA15841
17497,8,0,2019-07-08 05:34:16+02,45.1767266666667,5.722695,01010000206A080000EF19D60347E32B4162B2326067A15841
17498,8,0,2019-07-08 05:34:21+02,45.176525,5.72288166666667,01010000206A0800003E6016DE65E32B41F134FDE761A15841
17499,8,0,2019-07-08 05:34:26+02,45.17634,5.72309166666667,01010000206A0800006BC0954188E32B411D7338EA5CA15841
17500,8,0,2019-07-08 05:34:31+02,45.1761783333333,5.723385,01010000206A080000F6A3ED8CB7E32B41E5DEA6A058A15841
17501,8,0,2019-07-08 05:34:36+02,45.1760416666667,5.72366833333333,01010000206A08000010205E15E5E32B417702F20655A15841
17502,8,0,2019-07-08 05:34:41+02,45.175915,5.72390833333333,01010000206A080000B6027BBC0BE42B412843C4AC51A15841
17503,8,0,2019-07-08 05:34:46+02,45.1757583333333,5.72417166666667,01010000206A0800004AAE5A4836E42B41669B87814DA15841
17504,8,0,2019-07-08 05:34:51+02,45.1756033333333,5.72446833333333,01010000206A080000F8A9D80C66E42B41CAE6EA6749A15841
17505,8,0,2019-07-08 05:34:56+02,45.1754316666667,5.724755,01010000206A0800006C3D266094E42B411AF52ED644A15841
17506,8,0,2019-07-08 05:35:01+02,45.1752716666667,5.72500333333333,01010000206A080000B4C6D197BCE42B412B46AE9040A15841
17507,8,0,2019-07-08 05:35:06+02,45.1751216666667,5.72522,01010000206A080000B26813C3DFE42B41608FB98C3CA15841
17508,8,0,2019-07-08 05:35:11+02,45.1749833333333,5.72545333333333,01010000206A0800003E31687505E52B417EF989DE38A15841
17509,8,0,2019-07-08 05:35:16+02,45.1748466666667,5.725655,01010000206A080000428DA82B26E52B41DFA4B33635A15841
17510,8,0,2019-07-08 05:35:21+02,45.1747166666667,5.72586,01010000206A080000839AD95A47E52B410B90CDBE31A15841
17511,8,0,2019-07-08 05:35:26+02,45.1746033333333,5.72616333333333,01010000206A08000049A4EED977E52B41BE545DCE2EA15841
17512,8,0,2019-07-08 05:35:31+02,45.17446,5.72640666666667,01010000206A080000944436289FE52B41842F69FE2AA15841
17513,8,0,2019-07-08 05:35:36+02,45.1743533333333,5.72667666666667,01010000206A0800004326725ECAE52B4115178E3728A15841
17514,8,0,2019-07-08 05:35:41+02,45.1742483333333,5.72696,01010000206A080000645664A9F7E52B41959BDB7E25A15841
17515,8,0,2019-07-08 05:35:46+02,45.174135,5.72724666666667,01010000206A080000488DBA8A25E62B414B468C8B22A15841
17516,8,0,2019-07-08 05:35:51+02,45.1740133333333,5.727515,01010000206A08000083A38C9B50E62B41A119DD591FA15841
